GlobalAyahNo,SurahNameEnglish,SurahNameArabic,SurahAyahRefNumeric,SurahAyahRefArabic,ArabicText,Translation,GlyphV1,GlyphV2,PageNoEnglish,PageNoArabic
872,Surah Al-An'am,سورة الأنعام,6:83,٦:٨٣,وَتِلۡكَ حُجَّتُنَاۤ ءَاتَیۡنَـٰهَاۤ إِبۡرَ ٰ⁠هِیمَ عَلَىٰ قَوۡمِهِۦۚ نَرۡفَعُ دَرَجَـٰتࣲ مَّن نَّشَاۤءُۗ إِنَّ رَبَّكَ حَكِیمٌ عَلِیمࣱ ۝٨٣,"That was the reasoning about Us, which We gave to Abraham (to use) against his people: We raise whom We will, degree after degree: for thy Lord is full of wisdom and knowledge.",ﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭ,ﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝ,138,١٣٨
873,Surah Al-An'am,سورة الأنعام,6:84,٦:٨٤,وَوَهَبۡنَا لَهُۥۤ إِسۡحَـٰقَ وَیَعۡقُوبَۚ كُلًّا هَدَیۡنَاۚ وَنُوحًا هَدَیۡنَا مِن قَبۡلُۖ وَمِن ذُرِّیَّتِهِۦ دَاوُۥدَ وَسُلَیۡمَـٰنَ وَأَیُّوبَ وَیُوسُفَ وَمُوسَىٰ وَهَـٰرُونَۚ وَكَذَ ٰ⁠لِكَ نَجۡزِی ٱلۡمُحۡسِنِینَ ۝٨٤,"We gave him Isaac and Jacob: all (three) guided: and before him, We guided Noah, and among his progeny, David, Solomon, Job, Joseph, Moses, and Aaron: thus do We reward those who do good:",ﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇ,ﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷ,138,١٣٨
874,Surah Al-An'am,سورة الأنعام,6:85,٦:٨٥,وَزَكَرِیَّا وَیَحۡیَىٰ وَعِیسَىٰ وَإِلۡیَاسَۖ كُلࣱّ مِّنَ ٱلصَّـٰلِحِینَ ۝٨٥,"And Zakariya and John, and Jesus and Elias: all in the ranks of the righteous:",ﮈﮉﮊﮋﮌﮍﮎﮏﮐ,ﱸﱹﱺﱻﱼﱽﱾﱿﲀ,138,١٣٨
875,Surah Al-An'am,سورة الأنعام,6:86,٦:٨٦,وَإِسۡمَـٰعِیلَ وَٱلۡیَسَعَ وَیُونُسَ وَلُوطࣰاۚ وَكُلࣰّا فَضَّلۡنَا عَلَى ٱلۡعَـٰلَمِینَ ۝٨٦,"And Isma´il and Elisha, and Jonas, and Lot: and to all We gave favour above the nations:",ﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚ,ﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊ,138,١٣٨
876,Surah Al-An'am,سورة الأنعام,6:87,٦:٨٧,وَمِنۡ ءَابَاۤىِٕهِمۡ وَذُرِّیَّـٰتِهِمۡ وَإِخۡوَ ٰ⁠نِهِمۡۖ وَٱجۡتَبَیۡنَـٰهُمۡ وَهَدَیۡنَـٰهُمۡ إِلَىٰ صِرَ ٰ⁠طࣲ مُّسۡتَقِیمࣲ ۝٨٧,"(To them) and to their fathers, and progeny and brethren: We chose them, and we guided them to a straight way.",ﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥ,ﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕ,138,١٣٨
877,Surah Al-An'am,سورة الأنعام,6:88,٦:٨٨,ذَ ٰ⁠لِكَ هُدَى ٱللَّهِ یَهۡدِی بِهِۦ مَن یَشَاۤءُ مِنۡ عِبَادِهِۦۚ وَلَوۡ أَشۡرَكُوا۟ لَحَبِطَ عَنۡهُم مَّا كَانُوا۟ یَعۡمَلُونَ ۝٨٨,"This is the guidance of Allah: He giveth that guidance to whom He pleaseth, of His worshippers. If they were to join other gods with Him, all that they did would be vain for them.",ﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘ,ﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧ,138,١٣٨
878,Surah Al-An'am,سورة الأنعام,6:89,٦:٨٩,أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ءَاتَیۡنَـٰهُمُ ٱلۡكِتَـٰبَ وَٱلۡحُكۡمَ وَٱلنُّبُوَّةَۚ فَإِن یَكۡفُرۡ بِهَا هَـٰۤؤُلَاۤءِ فَقَدۡ وَكَّلۡنَا بِهَا قَوۡمࣰا لَّیۡسُوا۟ بِهَا بِكَـٰفِرِینَ ۝٨٩,"These were the men to whom We gave the Book, and authority, and prophethood: if these (their descendants) reject them, Behold! We shall entrust their charge to a new people who reject them not.",ﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫ,ﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺ,138,١٣٨
879,Surah Al-An'am,سورة الأنعام,6:90,٦:٩٠,أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ هَدَى ٱللَّهُۖ فَبِهُدَىٰهُمُ ٱقۡتَدِهۡۗ قُل لَّاۤ أَسۡـَٔلُكُمۡ عَلَیۡهِ أَجۡرًاۖ إِنۡ هُوَ إِلَّا ذِكۡرَىٰ لِلۡعَـٰلَمِینَ ۝٩٠,"Those were the (prophets) who received Allah´s guidance: Copy the guidance they received; Say: ""No reward for this do I ask of you: This is no less than a message for the nations.""",ﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿ,ﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎ,138,١٣٨
880,Surah Al-An'am,سورة الأنعام,6:91,٦:٩١,وَمَا قَدَرُوا۟ ٱللَّهَ حَقَّ قَدۡرِهِۦۤ إِذۡ قَالُوا۟ مَاۤ أَنزَلَ ٱللَّهُ عَلَىٰ بَشَرࣲ مِّن شَیۡءࣲۗ قُلۡ مَنۡ أَنزَلَ ٱلۡكِتَـٰبَ ٱلَّذِی جَاۤءَ بِهِۦ مُوسَىٰ نُورࣰا وَهُدࣰى لِّلنَّاسِۖ تَجۡعَلُونَهُۥ قَرَاطِیسَ تُبۡدُونَهَا وَتُخۡفُونَ كَثِیرࣰاۖ وَعُلِّمۡتُم مَّا لَمۡ تَعۡلَمُوۤا۟ أَنتُمۡ وَلَاۤ ءَابَاۤؤُكُمۡۖ قُلِ ٱللَّهُۖ ثُمَّ ذَرۡهُمۡ فِی خَوۡضِهِمۡ یَلۡعَبُونَ ۝٩١,"No just estimate of Allah do they make when they say: ""Nothing doth Allah send down to man (by way of revelation)"" Say: ""Who then sent down the Book which Moses brought?- a light and guidance to man: But ye make it into (separate) sheets for show, while ye conceal much (of its contents): therein were ye taught that which ye knew not- neither ye nor your fathers."" Say: ""Allah (sent it down)"": Then leave them to plunge in vain discourse and trifling.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲ,139,١٣٩
881,Surah Al-An'am,سورة الأنعام,6:92,٦:٩٢,وَهَـٰذَا كِتَـٰبٌ أَنزَلۡنَـٰهُ مُبَارَكࣱ مُّصَدِّقُ ٱلَّذِی بَیۡنَ یَدَیۡهِ وَلِتُنذِرَ أُمَّ ٱلۡقُرَىٰ وَمَنۡ حَوۡلَهَاۚ وَٱلَّذِینَ یُؤۡمِنُونَ بِٱلۡـَٔاخِرَةِ یُؤۡمِنُونَ بِهِۦۖ وَهُمۡ عَلَىٰ صَلَاتِهِمۡ یُحَافِظُونَ ۝٩٢,"And this is a Book which We have sent down, bringing blessings, and confirming (the revelations) which came before it: that thou mayest warn the mother of cities and all around her. Those who believe in the Hereafter believe in this (Book), and they are constant in guarding their prayers.",ﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛ,ﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋ,139,١٣٩
882,Surah Al-An'am,سورة الأنعام,6:93,٦:٩٣,وَمَنۡ أَظۡلَمُ مِمَّنِ ٱفۡتَرَىٰ عَلَى ٱللَّهِ كَذِبًا أَوۡ قَالَ أُوحِیَ إِلَیَّ وَلَمۡ یُوحَ إِلَیۡهِ شَیۡءࣱ وَمَن قَالَ سَأُنزِلُ مِثۡلَ مَاۤ أَنزَلَ ٱللَّهُۗ وَلَوۡ تَرَىٰۤ إِذِ ٱلظَّـٰلِمُونَ فِی غَمَرَ ٰ⁠تِ ٱلۡمَوۡتِ وَٱلۡمَلَـٰۤىِٕكَةُ بَاسِطُوۤا۟ أَیۡدِیهِمۡ أَخۡرِجُوۤا۟ أَنفُسَكُمُۖ ٱلۡیَوۡمَ تُجۡزَوۡنَ عَذَابَ ٱلۡهُونِ بِمَا كُنتُمۡ تَقُولُونَ عَلَى ٱللَّهِ غَیۡرَ ٱلۡحَقِّ وَكُنتُمۡ عَنۡ ءَایَـٰتِهِۦ تَسۡتَكۡبِرُونَ ۝٩٣,"Who can be more wicked than one who inventeth a lie against Allah, or saith, ""I have received inspiration,"" when he hath received none, or (again) who saith, ""I can reveal the like of what Allah hath revealed""? If thou couldst but see how the wicked (do fare) in the flood of confusion at death! - the angels stretch forth their hands, (saying),""Yield up your souls: this day shall ye receive your reward,- a penalty of shame, for that ye used to tell lies against Allah, and scornfully to reject of His signs!""",ﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰ,ﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿ,139,١٣٩
883,Surah Al-An'am,سورة الأنعام,6:94,٦:٩٤,وَلَقَدۡ جِئۡتُمُونَا فُرَ ٰ⁠دَىٰ كَمَا خَلَقۡنَـٰكُمۡ أَوَّلَ مَرَّةࣲ وَتَرَكۡتُم مَّا خَوَّلۡنَـٰكُمۡ وَرَاۤءَ ظُهُورِكُمۡۖ وَمَا نَرَىٰ مَعَكُمۡ شُفَعَاۤءَكُمُ ٱلَّذِینَ زَعَمۡتُمۡ أَنَّهُمۡ فِیكُمۡ شُرَكَـٰۤؤُا۟ۚ لَقَد تَّقَطَّعَ بَیۡنَكُمۡ وَضَلَّ عَنكُم مَّا كُنتُمۡ تَزۡعُمُونَ ۝٩٤,"""And behold! ye come to us bare and alone as We created you for the first time: ye have left behind you all (the favours) which We bestowed on you: We see not with you your intercessors whom ye thought to be partners in your affairs: so now all relations between you have been cut off, and your (pet) fancies have left you in the lurch!""",ﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁﰂﰃﰄﰅﰆﰇﰈﰉﰊﰋﰌﰍﰎﰏﰐ,ﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎﳏﳐﳑﳒﳓﳔﳕﳖﳗﳘﳙﳚﳛﳜﳝﳞﳟ,139,١٣٩
884,Surah Al-An'am,سورة الأنعام,6:95,٦:٩٥,۞ إِنَّ ٱللَّهَ فَالِقُ ٱلۡحَبِّ وَٱلنَّوَىٰۖ یُخۡرِجُ ٱلۡحَیَّ مِنَ ٱلۡمَیِّتِ وَمُخۡرِجُ ٱلۡمَیِّتِ مِنَ ٱلۡحَیِّۚ ذَ ٰ⁠لِكُمُ ٱللَّهُۖ فَأَنَّىٰ تُؤۡفَكُونَ ۝٩٥,"It is Allah Who causeth the seed-grain and the date-stone to split and sprout. He causeth the living to issue from the dead, and He is the one to cause the dead to issue from the living. That is Allah: then how are ye deluded away from the truth?",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖ,140,١٤٠
885,Surah Al-An'am,سورة الأنعام,6:96,٦:٩٦,فَالِقُ ٱلۡإِصۡبَاحِ وَجَعَلَ ٱلَّیۡلَ سَكَنࣰا وَٱلشَّمۡسَ وَٱلۡقَمَرَ حُسۡبَانࣰاۚ ذَ ٰ⁠لِكَ تَقۡدِیرُ ٱلۡعَزِیزِ ٱلۡعَلِیمِ ۝٩٦,"He it is that cleaveth the day-break (from the dark): He makes the night for rest and tranquillity, and the sun and moon for the reckoning (of time): Such is the judgment and ordering of (Him), the Exalted in Power, the Omniscient.",ﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴ,ﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤ,140,١٤٠
886,Surah Al-An'am,سورة الأنعام,6:97,٦:٩٧,وَهُوَ ٱلَّذِی جَعَلَ لَكُمُ ٱلنُّجُومَ لِتَهۡتَدُوا۟ بِهَا فِی ظُلُمَـٰتِ ٱلۡبَرِّ وَٱلۡبَحۡرِۗ قَدۡ فَصَّلۡنَا ٱلۡـَٔایَـٰتِ لِقَوۡمࣲ یَعۡلَمُونَ ۝٩٧,"It is He Who maketh the stars (as beacons) for you, that ye may guide yourselves, with their help, through the dark spaces of land and sea: We detail Our signs for people who know.",ﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆ,ﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶ,140,١٤٠
887,Surah Al-An'am,سورة الأنعام,6:98,٦:٩٨,وَهُوَ ٱلَّذِیۤ أَنشَأَكُم مِّن نَّفۡسࣲ وَ ٰ⁠حِدَةࣲ فَمُسۡتَقَرࣱّ وَمُسۡتَوۡدَعࣱۗ قَدۡ فَصَّلۡنَا ٱلۡـَٔایَـٰتِ لِقَوۡمࣲ یَفۡقَهُونَ ۝٩٨,It is He Who hath produced you from a single person: here is a place of sojourn and a place of departure: We detail Our signs for people who understand.,ﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕ,ﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅ,140,١٤٠
888,Surah Al-An'am,سورة الأنعام,6:99,٦:٩٩,وَهُوَ ٱلَّذِیۤ أَنزَلَ مِنَ ٱلسَّمَاۤءِ مَاۤءࣰ فَأَخۡرَجۡنَا بِهِۦ نَبَاتَ كُلِّ شَیۡءࣲ فَأَخۡرَجۡنَا مِنۡهُ خَضِرࣰا نُّخۡرِجُ مِنۡهُ حَبࣰّا مُّتَرَاكِبࣰا وَمِنَ ٱلنَّخۡلِ مِن طَلۡعِهَا قِنۡوَانࣱ دَانِیَةࣱ وَجَنَّـٰتࣲ مِّنۡ أَعۡنَابࣲ وَٱلزَّیۡتُونَ وَٱلرُّمَّانَ مُشۡتَبِهࣰا وَغَیۡرَ مُتَشَـٰبِهٍۗ ٱنظُرُوۤا۟ إِلَىٰ ثَمَرِهِۦۤ إِذَاۤ أَثۡمَرَ وَیَنۡعِهِۦۤۚ إِنَّ فِی ذَ ٰ⁠لِكُمۡ لَـَٔایَـٰتࣲ لِّقَوۡمࣲ یُؤۡمِنُونَ ۝٩٩,"It is He Who sendeth down rain from the skies: with it We produce vegetation of all kinds: from some We produce green (crops), out of which We produce grain, heaped up (at harvest); out of the date-palm and its sheaths (or spathes) (come) clusters of dates hanging low and near: and (then there are) gardens of grapes, and olives, and pomegranates, each similar (in kind) yet different (in variety): when they begin to bear fruit, feast your eyes with the fruit and the ripeness thereof. Behold! in these things there are signs for people who believe.",ﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥ,ﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴ,140,١٤٠
889,Surah Al-An'am,سورة الأنعام,6:100,٦:١٠٠,وَجَعَلُوا۟ لِلَّهِ شُرَكَاۤءَ ٱلۡجِنَّ وَخَلَقَهُمۡۖ وَخَرَقُوا۟ لَهُۥ بَنِینَ وَبَنَـٰتِۭ بِغَیۡرِ عِلۡمࣲۚ سُبۡحَـٰنَهُۥ وَتَعَـٰلَىٰ عَمَّا یَصِفُونَ ۝١٠٠,"Yet they make the Jinns equals with Allah, though Allah did create the Jinns; and they falsely, having no knowledge, attribute to Him sons and daughters. Praise and glory be to Him! (for He is) above what they attribute to Him!",ﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷ,ﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆ,140,١٤٠
890,Surah Al-An'am,سورة الأنعام,6:101,٦:١٠١,بَدِیعُ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضِۖ أَنَّىٰ یَكُونُ لَهُۥ وَلَدࣱ وَلَمۡ تَكُن لَّهُۥ صَـٰحِبَةࣱۖ وَخَلَقَ كُلَّ شَیۡءࣲۖ وَهُوَ بِكُلِّ شَیۡءٍ عَلِیمࣱ ۝١٠١,"To Him is due the primal origin of the heavens and the earth: How can He have a son when He hath no consort? He created all things, and He hath full knowledge of all things.",ﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁﰂﰃﰄﰅﰆﰇﰈﰉﰊﰋﰌﰍ,ﳇﳈﳉﳊﳋﳌﳍﳎﳏﳐﳑﳒﳓﳔﳕﳖﳗﳘﳙﳚﳛﳜ,140,١٤٠
891,Surah Al-An'am,سورة الأنعام,6:102,٦:١٠٢,ذَ ٰ⁠لِكُمُ ٱللَّهُ رَبُّكُمۡۖ لَاۤ إِلَـٰهَ إِلَّا هُوَۖ خَـٰلِقُ كُلِّ شَیۡءࣲ فَٱعۡبُدُوهُۚ وَهُوَ عَلَىٰ كُلِّ شَیۡءࣲ وَكِیلࣱ ۝١٠٢,"That is Allah, your Lord! there is no god but He, the Creator of all things: then worship ye Him: and He hath power to dispose of all affairs.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔ,141,١٤١
892,Surah Al-An'am,سورة الأنعام,6:103,٦:١٠٣,لَّا تُدۡرِكُهُ ٱلۡأَبۡصَـٰرُ وَهُوَ یُدۡرِكُ ٱلۡأَبۡصَـٰرَۖ وَهُوَ ٱللَّطِیفُ ٱلۡخَبِیرُ ۝١٠٣,"No vision can grasp Him, but His grasp is over all vision: He is above all comprehension, yet is acquainted with all things.",ﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯ,ﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟ,141,١٤١
893,Surah Al-An'am,سورة الأنعام,6:104,٦:١٠٤,قَدۡ جَاۤءَكُم بَصَاۤىِٕرُ مِن رَّبِّكُمۡۖ فَمَنۡ أَبۡصَرَ فَلِنَفۡسِهِۦۖ وَمَنۡ عَمِیَ فَعَلَیۡهَاۚ وَمَاۤ أَنَا۠ عَلَیۡكُم بِحَفِیظࣲ ۝١٠٤,"""Now have come to you, from your Lord, proofs (to open your eyes): if any will see, it will be for (the good of) his own soul; if any will be blind, it will be to his own (harm): I am not (here) to watch over your doings.""",ﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂ,ﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲ,141,١٤١
894,Surah Al-An'am,سورة الأنعام,6:105,٦:١٠٥,وَكَذَ ٰ⁠لِكَ نُصَرِّفُ ٱلۡـَٔایَـٰتِ وَلِیَقُولُوا۟ دَرَسۡتَ وَلِنُبَیِّنَهُۥ لِقَوۡمࣲ یَعۡلَمُونَ ۝١٠٥,"Thus do we explain the signs by various (symbols): that they may say, ""Thou hast taught (us) diligently,"" and that We may make the matter clear to those who know.",ﮃﮄﮅﮆﮇﮈﮉﮊﮋ,ﱳﱴﱵﱶﱷﱸﱹﱺﱻ,141,١٤١
895,Surah Al-An'am,سورة الأنعام,6:106,٦:١٠٦,ٱتَّبِعۡ مَاۤ أُوحِیَ إِلَیۡكَ مِن رَّبِّكَۖ لَاۤ إِلَـٰهَ إِلَّا هُوَۖ وَأَعۡرِضۡ عَنِ ٱلۡمُشۡرِكِینَ ۝١٠٦,Follow what thou art taught by inspiration from thy Lord: there is no god but He: and turn aside from those who join gods with Allah.,ﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛ,ﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋ,141,١٤١
896,Surah Al-An'am,سورة الأنعام,6:107,٦:١٠٧,وَلَوۡ شَاۤءَ ٱللَّهُ مَاۤ أَشۡرَكُوا۟ۗ وَمَا جَعَلۡنَـٰكَ عَلَیۡهِمۡ حَفِیظࣰاۖ وَمَاۤ أَنتَ عَلَیۡهِم بِوَكِیلࣲ ۝١٠٧,"If it had been Allah´s plan, they would not have taken false gods: but We made thee not one to watch over their doings, nor art thou set over them to dispose of their affairs.",ﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫ,ﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛ,141,١٤١
897,Surah Al-An'am,سورة الأنعام,6:108,٦:١٠٨,وَلَا تَسُبُّوا۟ ٱلَّذِینَ یَدۡعُونَ مِن دُونِ ٱللَّهِ فَیَسُبُّوا۟ ٱللَّهَ عَدۡوَۢا بِغَیۡرِ عِلۡمࣲۗ كَذَ ٰ⁠لِكَ زَیَّنَّا لِكُلِّ أُمَّةٍ عَمَلَهُمۡ ثُمَّ إِلَىٰ رَبِّهِم مَّرۡجِعُهُمۡ فَیُنَبِّئُهُم بِمَا كَانُوا۟ یَعۡمَلُونَ ۝١٠٨,"Revile not ye those whom they call upon besides Allah, lest they out of spite revile Allah in their ignorance. Thus have We made alluring to each people its own doings. In the end will they return to their Lord, and We shall then tell them the truth of all that they did.",ﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧ,ﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶ,141,١٤١
898,Surah Al-An'am,سورة الأنعام,6:109,٦:١٠٩,وَأَقۡسَمُوا۟ بِٱللَّهِ جَهۡدَ أَیۡمَـٰنِهِمۡ لَىِٕن جَاۤءَتۡهُمۡ ءَایَةࣱ لَّیُؤۡمِنُنَّ بِهَاۚ قُلۡ إِنَّمَا ٱلۡـَٔایَـٰتُ عِندَ ٱللَّهِۖ وَمَا یُشۡعِرُكُمۡ أَنَّهَاۤ إِذَا جَاۤءَتۡ لَا یُؤۡمِنُونَ ۝١٠٩,"They swear their strongest oaths by Allah, that if a (special) sign came to them, by it they would believe. Say: ""Certainly (all) signs are in the power of Allah: but what will make you (Muslims) realise that (even) if (special) signs came, they will not believe.""?",ﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿ,ﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎ,141,١٤١
899,Surah Al-An'am,سورة الأنعام,6:110,٦:١١٠,وَنُقَلِّبُ أَفۡـِٔدَتَهُمۡ وَأَبۡصَـٰرَهُمۡ كَمَا لَمۡ یُؤۡمِنُوا۟ بِهِۦۤ أَوَّلَ مَرَّةࣲ وَنَذَرُهُمۡ فِی طُغۡیَـٰنِهِمۡ یَعۡمَهُونَ ۝١١٠,"We (too) shall turn to (confusion) their hearts and their eyes, even as they refused to believe in this in the first instance: We shall leave them in their trespasses, to wander in distraction.",ﰀﰁﰂﰃﰄﰅﰆﰇﰈﰉﰊﰋﰌﰍ,ﳏﳐﳑﳒﳓﳔﳕﳖﳗﳘﳙﳚﳛﳜ,141,١٤١
900,Surah Al-An'am,سورة الأنعام,6:111,٦:١١١,۞ وَلَوۡ أَنَّنَا نَزَّلۡنَاۤ إِلَیۡهِمُ ٱلۡمَلَـٰۤىِٕكَةَ وَكَلَّمَهُمُ ٱلۡمَوۡتَىٰ وَحَشَرۡنَا عَلَیۡهِمۡ كُلَّ شَیۡءࣲ قُبُلࣰا مَّا كَانُوا۟ لِیُؤۡمِنُوۤا۟ إِلَّاۤ أَن یَشَاۤءَ ٱللَّهُ وَلَـٰكِنَّ أَكۡثَرَهُمۡ یَجۡهَلُونَ ۝١١١,"Even if We did send unto them angels, and the dead did speak unto them, and We gathered together all things before their very eyes, they are not the ones to believe, unless it is in Allah´s plan. But most of them ignore (the truth).",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘ,142,١٤٢
